Quiz ID,Title,Description,Tab Name,Last Updated
demo-fun-quiz,Demo Quiz,A very important quiz about your favorite faculty members.,QZ_Demo_Quiz_quiz,4/20/2026
imp-loose-1770608121155,Block 1: Emergency Medicine & Urgent Care,,QZ_Block_1__Emergency_M_1155,4/20/2026
imp-1770511408127,Block 2: Neurology & Psychiatry,,QZ_Block_2__Neurology___8127,4/20/2026
imp-1770512019728,Block 3: Hematology & Oncology,,QZ_Block_3__Hematology__9728,4/20/2026
imp-1770514251736,Block 4: HEENT,,QZ_Block_4__HEENT_1736,4/20/2026
imp-1770514362403,Block 5: Cardiology,,QZ_Block_5__Cardiology_2403,4/20/2026
imp-1770611440015,Block 6: Pulmonology,,QZ_Block_6__Pulmonology_0015,4/20/2026
imp-1770504390176,Block 7: MSK & Orthopedics,,QZ_Block_7__MSK___Ortho_0176,4/20/2026
imp-1770504793550,Block 8: Renal & GI,,QZ_Block_8__Renal___GI_3550,4/20/2026
imp-1770507142790,Block 9: Cards & Pulm Redux,,QZ_Block_9__Cards___Pul_2790,4/20/2026
imp-1770508445021,"Block 10: ABFM High Yield (Stats, Guidelines, Preventative Health)",,QZ_Block_10__ABFM_High__5021,4/20/2026
imp-1770508493217,Block 11: OBGYN,,QZ_Block_11__OBGYN_3217,4/20/2026
imp-1770514645165,Bonus Block: Dermatology,,QZ_Bonus_Block__Dermato_5165,4/20/2026
imp-1770583549116,Bonus Block: Endocrinology,,QZ_Bonus_Block__Endocri_9116,4/20/2026
